State,PeopleAffected,Domain,ResourcesRequired,UrgencyReason,Timeline,Urgency,EstimatedCost
Telangana,21,Shelter,Volunteers,Community Emergency,Immediate,Low,163.7
Telangana,88,Education,Beds/Shelter,Community Emergency,Long term,Low,4571.69
Maharashtra,393,Shelter,Beds/Shelter,Health Emergency,Within 1 week,Medium,25489.3
Gujarat,161,Employment,Medicines,Seasonal Need,Immediate,Medium,2850.57
Gujarat,49,Education,Volunteers,Seasonal Need,Immediate,Low,323.24
Delhi,190,Food,Medicines,Seasonal Need,Long term,Medium,4742.79
Tamil Nadu,64,Employment,Beds/Shelter,Seasonal Need,Long term,Low,3001.42
Andhra Pradesh,21,Food,Volunteers,Community Emergency,Long term,Low,162.56
Andhra Pradesh,291,Education,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,3295.26
Bihar,389,Healthcare,Medicines,Health Emergency,Within 1 week,Medium,16194.91
Gujarat,84,Shelter,Funds,Health Emergency,Long term,Low,1278.34
Tamil Nadu,439,Healthcare,Funds,Disease Outbreak,Within 1 week,High,9643.55
Tamil Nadu,451,Education,Funds,Health Emergency,Long term,Medium,5328.3
Bihar,319,Shelter,Medicines,Disease Outbreak,Within 1 week,High,7394.19
Telangana,345,Employment,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,4105.11
Maharashtra,266,Disaster Relief,Medicines,Health Emergency,Within 1 week,Medium,8034.21
Gujarat,206,Shelter,Funds,Health Emergency,Immediate,Medium,3102.74
Telangana,570,Disaster Relief,Food Kits,Natural Disaster (Flood/Earthquake),Long term,High,7252.28
Karnataka,81,Healthcare,Funds,Community Emergency,Long term,Low,1572.42
Karnataka,822,Food,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,48095.84
Bihar,72,Education,Food Kits,Seasonal Need,Long term,Low,785.37
Gujarat,733,Education,Food Kits,Health Emergency,Long term,High,7918.11
Karnataka,101,Employment,Beds/Shelter,Community Emergency,Immediate,Medium,4451.43
Telangana,267,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,16851.27
Telangana,3637,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,154235.24
Bihar,624,Education,Funds,Health Emergency,Long term,High,7979.39
